Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,PureState_0,0.2910199572741123,0.29353105287817854,0.28571397683666405,0.28769232961436136,0.3573332826044672,0.35807554440348155,0.3587949493661162,0.3390595188333783,0.34287065625,0.37949175
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,Quratest_0,0.29169483791329065,0.2525580592221521,0.2812543946580655,0.24773504552879103,0.30021541868889307,0.28027382919774313,0.1707897328527523,0.17647086135998571,0.1835593240077632,0.1361960427577632
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,PureState_1,0.2960741237638095,0.29662779879508416,0.29022105639614093,0.2904241218534432,0.3573332826044672,0.3579345986624581,0.3587949493661162,0.3399805040992074,0.3687495625,0.336523
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,Quratest_1,0.4045926462464265,0.3761572350563019,0.3882630982677555,0.36413343954604205,0.4552808599042934,0.4307727292031855,0.21604472241804665,0.21009326439501116,0.09312055623071269,0.10483930623071269
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,PureState_2,0.2830737787300056,0.19408240225242637,0.2615798139666349,0.1904969826084099,0.22321740925657313,0.18520946963468038,0.1608050506338839,0.15652634042608649,0.07095971874999979,0.05289331249999979
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,Quratest_2,0.286141007727262,0.262192350981701,0.27269573072232267,0.25296142667432564,0.19723486837940513,0.19783656482119874,0.3509095210787039,0.33798178674469725,0.22893730773228027,0.20647637023228027
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,PureState_3,0.27920548325656147,0.19151311854512762,0.2594320777597291,0.18818267265835997,0.22321740925657313,0.18502176513288934,0.16080505063388353,0.15746859024092177,0.09928003124999979,0.04410424999999979
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,Quratest_3,0.4004307721512365,0.368090944400705,0.3886055736614544,0.36073622154171364,0.4742276370264151,0.4482103217830897,0.14460229143532344,0.14261202256536018,0.04797745506365014,0.09924698631365014
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,PureState_4,0.29015516187780316,0.29158480342687376,0.28448016553055033,0.28571995019126156,0.357333282604467,0.35800948043280334,0.3587949493661165,0.3391306180754049,0.3340815937499999,0.3511714374999999
ae_3_Mutant_Add_ch_P11_Q0_[].qasm,Quratest_4,0.24557748773347324,0.23639198261267597,0.24280934917566072,0.234075758828197,0.2972615867065487,0.2930386291570266,0.4204595766773706,0.39437433981733433,0.007248323972022741,0.05119363647202274
