Metric,Threshold,kyiv,brisbane,sherbrooke
Metric H,I,0.9997053913385053,0.9997051886792453,0.9995086236548573
Metric H,N,0.8516154374938624,0.83687106918239,0.7115129477666945
Metric J,I,0.9997055937193327,0.9997544445535802,0.9995089373404047
Metric J,N,0.8616781157998037,0.8564973971122679,0.7305048124140641
Metric T,I,1.0,1.0,1.0
Metric T,N,0.9686925519469668,0.9710879616734444,0.8962269408683052
Metric F,I,1.0,1.0,1.0
Metric F,N,0.23973509933774834,0.23114503816793894,0.3804530414863833
Metric E,I,0.8523975811259689,0.8221258134490239,0.8153080326752893
Metric E,N,0.6566731964909293,0.7527965633107907,0.6111725663716814
