Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_0,0.02931788877089082,0.13578029796333127,0.028777980904235296,0.12953416994477945,0.0,0.05225808280025257,1.000000000000012,0.8529262557493922,0.007967543782234576,0.017244887532234576
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,Quratest_0,0.027756546908108373,0.11516452945294116,0.02774882409218874,0.11184086502866865,0.0,0.04381075948719644,1.000000000000011,0.8438587684600645,0.0321505679732194,0.006423650776780601
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_1,0.027057411004348875,0.15196810431232563,0.02703784591700564,0.14363107558021282,0.0,0.05031845866826436,1.0000000000000107,0.8526874224891151,0.0017278765055835782,0.018817720255583578
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,Quratest_1,0.030331503716067985,0.10931576900384359,0.030319084079643253,0.1071863503297929,0.0,0.05181397309750495,1.0000000000000115,0.8339552309421742,0.0018417863533267999,0.0015761823966732001
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_2,0.02567278790415945,0.11098870943503542,0.02535621807726096,0.1056344143929175,0.0,0.048354661190144685,1.0000000000000124,0.8562391305334278,0.01783171635726511,0.01293000239273489
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,Quratest_2,0.02855632477142486,0.1336591792919695,0.02772160972400124,0.13127917790808658,0.0,0.05242715646244124,1.000000000000011,0.8410106480106674,0.015237628695127015,0.12656575369512701
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_3,0.027673876401001725,0.14024813942941894,0.027657713772624087,0.13281937911501468,0.0,0.05362032992214701,1.0000000000000098,0.8520774785813805,0.011038211321463043,0.03193053867853696
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,Quratest_3,0.027311410698433496,0.10987329483281577,0.026734117542418258,0.1071392628562437,0.0,0.04664382790318906,1.0000000000000093,0.8503121319484314,4.110717808866737e-05,0.07377157592808867
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_4,0.02631457525167312,0.14599193375269745,0.02599209759115952,0.1383653128221684,0.0,0.05031844930217236,1.000000000000011,0.853487410691468,0.010479154744416436,0.011005220255583564
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,Quratest_4,0.0315493486791801,0.15705051931354685,0.03000524484187077,0.1507564193559171,0.0,0.051100876647297025,1.000000000000011,0.8531823512612665,0.02351898864489435,0.09562163635510565
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_5,0.02858213828681507,0.11925065189771192,0.02829965942259532,0.11261092181728001,0.0,0.05149851975517532,1.0000000000000102,0.8534673431137976,0.009920668782234646,0.027676987467765354
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,Quratest_5,0.029004302096501903,0.10985965472934905,0.02898280529224825,0.10591503599158117,0.0,0.038841611355358824,1.000000000000011,0.8323507702310758,0.019940233070170406,0.010821485679829594
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_6,0.02784908097666625,0.15904242615844827,0.027280159943852376,0.15095880937013118,0.0,0.05434997261158511,1.0000000000000124,0.8500153204536686,0.0021388071940127706,0.10381822405598723
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,Quratest_6,0.02728243138062584,0.10425061813167881,0.027263944473492143,0.10244579988112572,0.0,0.050288038071678476,1.0000000000000147,0.840240947577659,0.01773016312337469,0.005523131873374689
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_7,0.027241721074210197,0.1438228780207027,0.027211301848062277,0.13615295423211118,0.0,0.05386701908845279,1.0000000000000102,0.850904576735869,0.008603380305987313,0.07842759905598731
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,Quratest_7,0.02708152731850094,0.1503466156760863,0.027048622431867904,0.1457623884347392,0.0,0.05856229172844858,1.000000000000011,0.8438564504694541,0.0030025764308797206,0.01325648268087972
qftentangled_6_Mutant_Add_y_P29_Q2_[].qasm,PureState_8,0.02480904299336342,0.12617796212988325,0.024479671539974355,0.12023935832702981,0.0,0.052409967755164974,1.0000000000000107,0.8530885042865348,0.015442183969781385,0.039733597280218615
